,id,d115DocumentBoostValue,faqUpdateTimestamp,faqSourceUrl,faqSourceName,faqQuestion,faqAll,faqQuestionMain,faqName,faqLabels,faqTopics,faqAnswers,_version_
0,0,1.0,02.06.2022 12:07,https://www.berlin.de/corona/faq/#accordion_faq_1_150,Der Regierende Bürgermeister von Berlin - Senatskanzlei,was muss ich bei meinem besuch in krankenhäusern und pflegeeinrichtungen beachten?,"['was muss ich bei meinem besuch in krankenhäusern und pflegeeinrichtungen beachten?', 'Bewohner:innen von Pflegeinrichtungen dürfen ohne Einschränkung der Personenanzahl besucht werden. Für Besucher:innen gilt eine Testpflicht, wobei geimpfte und genesene Besucher:innen keinen Test vorlegen müssen. Während des Aufenthalts muss eine FFP2-Maske ohne Ausatemventil getragen werden. Im Zimmer kann die Maske abgenommen werden, sofern alle Anwesenden geimpft oder genesen sind.  Besucher:innen in Krankenhäusern müssen eine FFP2-Maske tragen.  Die Pflicht zum Tragen einer FFP2-Maske gilt auch für Patient:innen, wenn sie sich außerhalb des Zimmers befinden oder Besuch empfangen. Unabhängig vom Impf-oder Genesenenstatus gilt beim Zutritt die Pflicht zur Vorlage eines aktuellen negativen Corona-Testergebnisses.  In Arztpraxen müssen Patient:innen ebenso eine FFP2-Maske tragen. Selbiges gilt für das Personal bei der unmittelbaren Versorgung der Patient:innen.']",Was muss ich bei meinem Besuch in Krankenhäusern und Pflegeeinrichtungen beachten?,intent.CORONA.faq.bb.556422825089755,['CORONA'],['CORONA'],"['Bewohner:innen von Pflegeinrichtungen dürfen ohne Einschränkung der Personenanzahl besucht werden. Für Besucher:innen gilt eine Testpflicht, wobei geimpfte und genesene Besucher:innen keinen Test vorlegen müssen. Während des Aufenthalts muss eine FFP2-Maske ohne Ausatemventil getragen werden. Im Zimmer kann die Maske abgenommen werden, sofern alle Anwesenden geimpft oder genesen sind.  Besucher:innen in Krankenhäusern müssen eine FFP2-Maske tragen.  Die Pflicht zum Tragen einer FFP2-Maske gilt auch für Patient:innen, wenn sie sich außerhalb des Zimmers befinden oder Besuch empfangen. Unabhängig vom Impf-oder Genesenenstatus gilt beim Zutritt die Pflicht zur Vorlage eines aktuellen negativen Corona-Testergebnisses.  In Arztpraxen müssen Patient:innen ebenso eine FFP2-Maske tragen. Selbiges gilt für das Personal bei der unmittelbaren Versorgung der Patient:innen.']",1734524673858732032
1,1,1.0,02.06.2022 12:07,https://www.berlin.de/sen/kulteu/aktuelles/corona/artikel.915204.php#headline_1_2,"Berlin, Senatsverwaltung für Kultur und Europa",finden die für die nächsten wochen geplanten jurysitzungen statt? oder müssen auswahlentscheidungen verschoben werden?,"['finden die für die nächsten wochen geplanten jurysitzungen statt? oder müssen auswahlentscheidungen verschoben werden?', 'Es ist geplant, unmittelbar anstehende Jurysitzungen in anderer Form (digital) durchzuführen.']",Finden die für die nächsten Wochen geplanten Jurysitzungen statt? Oder müssen Auswahlentscheidungen verschoben werden?,intent.CORONA.faq.bb11_kul_04.469383185906430,['CORONA'],['CORONA'],"['Es ist geplant, unmittelbar anstehende Jurysitzungen in anderer Form (digital) durchzuführen.']",1734524673862926336
2,2,1.0,02.06.2022 12:07,https://www.berlin.de/corona/faq/#accordion_faq_1_112,Der Regierende Bürgermeister von Berlin - Senatskanzlei,welche personenobergrenzen und weiteren regelungen gelten bei versammlungen?,"['welche personenobergrenzen und weiteren regelungen gelten bei versammlungen?', 'Versammlungen, also Demonstrationen oder Kundgebungen, dürfen ohne eingeschränkte Zahl an Teilnehmenden stattfinden. Eine Maskenpflicht besteht nicht. Die Teilnehmenden müssen kein negatives Corona-Testergebnis oder einen Nachweis über eine vollständige Corona-Impfung oder Genesung nachweisen. Mitunter können die Veranstalter:innen jedoch bestimmte Vorgaben festlegen. Bitte informieren Sie sich vorab, welche genauen Regelungen gelten. Die versammlungsrechtlichen Vorschriften gelten weiterhin.']",Welche Personenobergrenzen und weiteren Regelungen gelten bei Versammlungen?,intent.CORONA.faq.bb.684669258884281,['CORONA'],['CORONA'],"['Versammlungen, also Demonstrationen oder Kundgebungen, dürfen ohne eingeschränkte Zahl an Teilnehmenden stattfinden. Eine Maskenpflicht besteht nicht. Die Teilnehmenden müssen kein negatives Corona-Testergebnis oder einen Nachweis über eine vollständige Corona-Impfung oder Genesung nachweisen. Mitunter können die Veranstalter:innen jedoch bestimmte Vorgaben festlegen. Bitte informieren Sie sich vorab, welche genauen Regelungen gelten. Die versammlungsrechtlichen Vorschriften gelten weiterhin.']",1734524673863974912
3,3,1.0,02.06.2022 12:07,https://www.berlin.de/corona/faq/#accordion_faq_1_118,Der Regierende Bürgermeister von Berlin - Senatskanzlei,kann ich im verdachtsfall auch einen antigen-schnelltest machen?,"['kann ich im verdachtsfall auch einen antigen-schnelltest machen?', 'In der Regel wird die Abklärung im Verdachtsfall mittels Schnelltest durchgeführt. PCR-Tests werden nur noch in spezifischen Fällen durchgeführt, etwa zur Verifizierung positiver Selbst- oder Schnelltest-Ergebnisse von Mitarbeitenden in Pflegeeinrichtungen, Krankenhäusern, Arztpraxen und ähnlichen Einrichtungen. Auch wenn Sie zur Abklärung eines positiven Selbsttestes einen Schnelltest vornehmen lassen, welcher negativ ausfällt, muss ein PCR-Test durchgeführt werden.  Fällt Ihr Antigen-Schnelltest positiv aus, müssen Sie sich unverzüglich für zehn Tage in die häusliche Isolation begeben. Nach Ablauf der zehn Tage endet die Quarantäne ohne weitere Auflagen. Sie können die Quarantäne frühestens ab dem fünften Tag vorzeitig beenden. Voraussetzung ist, dass Sie für 48 Stunden symptomfrei sind und anschließend einen Schnelltest durchführen lassen, der negativ ausfallen muss. Sie können Ihr positives Schnelltest-Ergebnis mittels PCR-Testung kostenlos verifizieren lassen. Fällt der PCR-Test negativ aus, endet die Quarantänepflicht.']",Kann ich im Verdachtsfall auch einen Antigen-Schnelltest machen?,intent.CORONA.faq.bb.512124789335278,['CORONA'],['CORONA'],"['In der Regel wird die Abklärung im Verdachtsfall mittels Schnelltest durchgeführt. PCR-Tests werden nur noch in spezifischen Fällen durchgeführt, etwa zur Verifizierung positiver Selbst- oder Schnelltest-Ergebnisse von Mitarbeitenden in Pflegeeinrichtungen, Krankenhäusern, Arztpraxen und ähnlichen Einrichtungen. Auch wenn Sie zur Abklärung eines positiven Selbsttestes einen Schnelltest vornehmen lassen, welcher negativ ausfällt, muss ein PCR-Test durchgeführt werden.  Fällt Ihr Antigen-Schnelltest positiv aus, müssen Sie sich unverzüglich für zehn Tage in die häusliche Isolation begeben. Nach Ablauf der zehn Tage endet die Quarantäne ohne weitere Auflagen. Sie können die Quarantäne frühestens ab dem fünften Tag vorzeitig beenden. Voraussetzung ist, dass Sie für 48 Stunden symptomfrei sind und anschließend einen Schnelltest durchführen lassen, der negativ ausfallen muss. Sie können Ihr positives Schnelltest-Ergebnis mittels PCR-Testung kostenlos verifizieren lassen. Fällt der PCR-Test negativ aus, endet die Quarantänepflicht.']",1734524673866072064
4,4,1.0,02.06.2022 12:07,https://www.berlin.de/sen/soziales/corona/#headline_1_2,"Berlin, Senatsverwaltung für Integration, Arbeit und Soziales",wo finde ich informationen zu bürgerschaftlichem engagement in zeiten der corona-pandemie?,"['wo finde ich informationen zu bürgerschaftlichem engagement in zeiten der corona-pandemie?', 'Informationen werden im Berliner Ehrenamtsportal  bürgeraktiv  bei berlin.de gebündelt:     Ehrenamtsportal bürgeraktiv']",Wo finde ich Informationen zu bürgerschaftlichem Engagement in Zeiten der Corona-Pandemie?,intent.CORONA.faq.bb20_senias_corona.280975220550625,['CORONA'],['CORONA'],['Informationen werden im Berliner Ehrenamtsportal  bürgeraktiv  bei berlin.de gebündelt:     Ehrenamtsportal bürgeraktiv'],1734524673867120640
5,5,1.0,02.06.2022 12:07,https://www.berlin.de/corona/faq/#accordion_faq_1_183,Der Regierende Bürgermeister von Berlin - Senatskanzlei,für was benötige ich einen schnelltest oder einen selbsttest?,"['für was benötige ich einen schnelltest oder einen selbsttest?', 'Ein aktuelles negatives Testergebnis ist für die Teilnahme an verschiedenen Anlässen den Zutritt in verschiedenen Einrichtungen notwendig:  In Krankenhäusern für Besucher:innen, Patient:innen und Beschäftigte. Die Einrichtungen bestimmten selbst, in welchen Umfang die Testpflicht umgesetzt wird. In Notfällen entfällt die Testpflicht für alle Beteiligten. In Pflegeeinrichtungen für Besucher:innen, die weder geimpft noch genesen sind In Pflegeeinrichtungen für Bewohner:innen. Die Testpflicht besteht mindestens einmal pro Woche.   In Pflegeeinrichtungen für Beschäftige. Für Geimpfte und Genesene besteht die Testpflicht mindestens zweimal pro Woche, für Ungeimpfte täglich. In Schulen für Schüler:innen und Beschäftigte. Die Testpflicht besteht mindestens zweimal pro Woche.  Sie sind dazu verpflichtet, einen Schnelltest zu machen, wenn Sie nach einem Selbsttest ein positives Ergebnis erhalten. Wer positiv auf das Coronavirus getestet wurde und die darauffolgende, verpflichtende Isolation vorzeitig beenden möchte, benötigt ebenfalls ein negatives Schnelltestergebnis. Der Test darf in diesem Fall frühestens am fünften Tag der Isolation durchgeführt werden, wenn Betroffene zuvor mindestens 48 Stunden symptomfrei waren.']",Für was benötige ich einen Schnelltest oder einen Selbsttest?,intent.CORONA.faq.bb.406084036316741,['CORONA'],['CORONA'],"['Ein aktuelles negatives Testergebnis ist für die Teilnahme an verschiedenen Anlässen den Zutritt in verschiedenen Einrichtungen notwendig:  In Krankenhäusern für Besucher:innen, Patient:innen und Beschäftigte. Die Einrichtungen bestimmten selbst, in welchen Umfang die Testpflicht umgesetzt wird. In Notfällen entfällt die Testpflicht für alle Beteiligten. In Pflegeeinrichtungen für Besucher:innen, die weder geimpft noch genesen sind In Pflegeeinrichtungen für Bewohner:innen. Die Testpflicht besteht mindestens einmal pro Woche.   In Pflegeeinrichtungen für Beschäftige. Für Geimpfte und Genesene besteht die Testpflicht mindestens zweimal pro Woche, für Ungeimpfte täglich. In Schulen für Schüler:innen und Beschäftigte. Die Testpflicht besteht mindestens zweimal pro Woche.  Sie sind dazu verpflichtet, einen Schnelltest zu machen, wenn Sie nach einem Selbsttest ein positives Ergebnis erhalten. Wer positiv auf das Coronavirus getestet wurde und die darauffolgende, verpflichtende Isolation vorzeitig beenden möchte, benötigt ebenfalls ein negatives Schnelltestergebnis. Der Test darf in diesem Fall frühestens am fünften Tag der Isolation durchgeführt werden, wenn Betroffene zuvor mindestens 48 Stunden symptomfrei waren.']",1734524673868169216
6,6,1.0,02.06.2022 12:07,https://www.berlin.de/sen/pflege/pflege-und-rehabilitation/coronavirus/faq/#headline_1_10,"Berlin, Senatsverwaltung für Gesundheit, Pflege und Gleichstellung",hilfsmittel,"['hilfsmittel', 'Die im Rahmen der Pflegebegutachtung empfohlenen Hilfsmittel gelten automatisch   auch ohne ärztliche Verordnung   als beantragt.         Aufwendungen für zum Verbrauch bestimmte Pflegehilfsmittel dürfen bis zum 31.12.2021 monatlich den Betrag von 60 Euro nicht übersteigen.']",Hilfsmittel,intent.CORONA.faq.bb17_pflege_reha_faq.387067214471900,['CORONA'],['CORONA'],['Die im Rahmen der Pflegebegutachtung empfohlenen Hilfsmittel gelten automatisch   auch ohne ärztliche Verordnung   als beantragt.         Aufwendungen für zum Verbrauch bestimmte Pflegehilfsmittel dürfen bis zum 31.12.2021 monatlich den Betrag von 60 Euro nicht übersteigen.'],1734524673870266368
7,7,1.0,02.06.2022 12:07,https://www.berlin.de/sen/kulteu/aktuelles/corona/artikel.915045.php#headline_1_25,"Berlin, Senatsverwaltung für Kultur und Europa","mein projekt sollte an mehreren terminen stattfinden. einige termine konnte ich verschieben, andere musste ich streichen. kann ich für die ausgefallenen termine ausfallhonorare zahlen?","['mein projekt sollte an mehreren terminen stattfinden. einige termine konnte ich verschieben, andere musste ich streichen. kann ich für die ausgefallenen termine ausfallhonorare zahlen?', 'Ja, wenn wegen Teil-Absagen Teile des vertraglich vereinbarten Honorars  ausfallen  würden, kann für den ausgefallenen Teil anteilig ein Ausfall-Honorar gezahlt werden.']","Mein Projekt sollte an mehreren Terminen stattfinden. Einige Termine konnte ich verschieben, andere musste ich streichen. Kann ich für die ausgefallenen Termine Ausfallhonorare zahlen?",intent.CORONA.faq.bb10_kul_45.468655461678113,['CORONA'],['CORONA'],"['Ja, wenn wegen Teil-Absagen Teile des vertraglich vereinbarten Honorars  ausfallen  würden, kann für den ausgefallenen Teil anteilig ein Ausfall-Honorar gezahlt werden.']",1734524673871314944
8,8,1.0,02.06.2022 12:07,https://www.berlin.de/sen/kulteu/aktuelles/corona/artikel.915045.php#headline_1_12,"Berlin, Senatsverwaltung für Kultur und Europa",durch die vorzunehmenden anpassungen ergeben sich laufend änderungen im finanzierungsplan. bis wann muss ich diese der kulturverwaltung spätestens mitteilen?,"['durch die vorzunehmenden anpassungen ergeben sich laufend änderungen im finanzierungsplan. bis wann muss ich diese der kulturverwaltung spätestens mitteilen?', 'Im Rahmen der haushaltsrechtlichen Mitteilungspflichten sind Sie grundsätzlich verpflichtet, alle wesentlichen Änderungen umgehend (und innerhalb des Bewilligungszeitraums) der Bewilligungsbehörde mitzuteilen. Wesentlich sind zum Beispiel Änderungen, die sich auf die Art der Umsetzung des Projektes beziehen (Zuwendungszweck) oder sich größere Abweichungen (über 20%) in den einzelnen Positionen des Finanzierungsplans ergeben. Schreiben Sie im Zweifel lieber eine E-Mail mehr. Vielleicht hilft Ihnen hier auch der Leitfaden und das Mitteilungsformular weiter.']",Durch die vorzunehmenden Anpassungen ergeben sich laufend Änderungen im Finanzierungsplan. Bis wann muss ich diese der Kulturverwaltung spätestens mitteilen?,intent.CORONA.faq.bb10_kul_45.733122294835292,['CORONA'],['CORONA'],"['Im Rahmen der haushaltsrechtlichen Mitteilungspflichten sind Sie grundsätzlich verpflichtet, alle wesentlichen Änderungen umgehend (und innerhalb des Bewilligungszeitraums) der Bewilligungsbehörde mitzuteilen. Wesentlich sind zum Beispiel Änderungen, die sich auf die Art der Umsetzung des Projektes beziehen (Zuwendungszweck) oder sich größere Abweichungen (über 20%) in den einzelnen Positionen des Finanzierungsplans ergeben. Schreiben Sie im Zweifel lieber eine E-Mail mehr. Vielleicht hilft Ihnen hier auch der Leitfaden und das Mitteilungsformular weiter.']",1734524673872363520
9,9,1.0,02.06.2022 12:07,https://www.berlin.de/sen/arbeit/corona/#headline_1_20,"Berlin, Senatsverwaltung für Integration, Arbeit und Soziales",welche regelungen gelten für sozialversicherungspflichtig beschäftigte in werkstätten für menschen mit behinderung bzw. gemeinnützigen unternehmen?,"['welche regelungen gelten für sozialversicherungspflichtig beschäftigte in werkstätten für menschen mit behinderung bzw. gemeinnützigen unternehmen?', 'Kurzarbeitergeld kann von Betrieben   auch von solchen mit sozialen oder kulturellen Zielen   beantragt werden, die mindestens ein sozialversicherungspflichtiges Beschäftigungsverhältnis unterhalten. Für diese Beschäftigungsverhältnisse wird Kurzarbeitergeld gezahlt. Das kann grundsätzlich auch auf Werkstätten für Menschen mit Behinderung zutreffen.         Laut Bundesministerium für Arbeit und Soziales können auch gemeinnützige Unternehmen wie Vereine, aber auch Kindertagesstätten und Kulturschaffende wie Theater im Zusammenhang mit der Corona-Pandemie dem Grunde nach Kurzarbeitergeld erhalten. Wenn ihre Einrichtung durch eine behördliche Maßnahme geschlossen werden muss, liegt ein unabwendbares Ereignis nach § 96 Absatz 1 Satz 1 Nr. 1 SGB III vor. Tritt im Betrieb ein erheblicher Arbeitsausfall mit Entgeltausfall für die Arbeitnehmerinnen und Arbeitnehmer ein, kann das Kurzarbeitergeld bei Vorliegen der weiteren Voraussetzungen gewährt werden. Erforderlich ist die rechtsverbindliche Beratung und Prüfung jedes Einzelfalles durch die Bundesagentur für Arbeit.']",Welche Regelungen gelten für sozialversicherungspflichtig Beschäftigte in Werkstätten für Menschen mit Behinderung bzw. gemeinnützigen Unternehmen?,intent.CORONA.faq.bb37__ias__arbeit.756548708308053,['CORONA'],['CORONA'],"['Kurzarbeitergeld kann von Betrieben   auch von solchen mit sozialen oder kulturellen Zielen   beantragt werden, die mindestens ein sozialversicherungspflichtiges Beschäftigungsverhältnis unterhalten. Für diese Beschäftigungsverhältnisse wird Kurzarbeitergeld gezahlt. Das kann grundsätzlich auch auf Werkstätten für Menschen mit Behinderung zutreffen.         Laut Bundesministerium für Arbeit und Soziales können auch gemeinnützige Unternehmen wie Vereine, aber auch Kindertagesstätten und Kulturschaffende wie Theater im Zusammenhang mit der Corona-Pandemie dem Grunde nach Kurzarbeitergeld erhalten. Wenn ihre Einrichtung durch eine behördliche Maßnahme geschlossen werden muss, liegt ein unabwendbares Ereignis nach § 96 Absatz 1 Satz 1 Nr. 1 SGB III vor. Tritt im Betrieb ein erheblicher Arbeitsausfall mit Entgeltausfall für die Arbeitnehmerinnen und Arbeitnehmer ein, kann das Kurzarbeitergeld bei Vorliegen der weiteren Voraussetzungen gewährt werden. Erforderlich ist die rechtsverbindliche Beratung und Prüfung jedes Einzelfalles durch die Bundesagentur für Arbeit.']",1734524673874460672
