Zeitstempel,ursprüngliche Frage,angeklickte FAQ-Frage,Anzahl expandieren,Anzahl zusammenklappen,Anzahl Klick zur Externen Quelle,URL zur externen FAQ Quelle,Autor der FAQ
2021-09-01T00-07-57.110144,do i have to register for antigen test,"Can I only book an appointment with you, register online or submit a written application if I am registered in Berlin?",1,1,0,https://www.berlin.de/einwanderung/aufenthalt/artikel.909816.php#faq_1_21,"Berlin, Landesamt für Einwanderung"
2021-09-01T01-23-04.475589,Bahnhof essen,"Was muss ich beim Besuch in einem Restaurant, einem Café oder in einer Bar beachten?",1,1,0,https://www.berlin.de/corona/faq/#accordion_faq_1_44,Der Regierende Bürgermeister von Berlin - Senatskanzlei
2021-09-01T01-23-04.475589,Bahnhof essen,Wo muss ich eine FFP2-Maske tragen?,2,2,0,https://www.berlin.de/corona/faq/#accordion_faq_1_54,Der Regierende Bürgermeister von Berlin - Senatskanzlei
2021-09-01T03-04-46.684411,Wohnung anmelden,Ich habe keine Buchungsbestätigung für meinen Termin bekommen. Ist diese notwendig bzw. gilt der Termin jetzt trotzdem?,1,1,0,https://www.berlin.de/corona/impfen/faq/#accordion_faq_1_43,Der Regierende Bürgermeister von Berlin - Senatskanzlei
2021-09-01T03-04-46.684411,Wohnung anmelden,"Kann ich bei Ihnen nur einen Termin buchen, mich online registrieren oder einen schriftlichen Antrag stellen, wenn ich in Berlin gemeldet bin?",1,1,0,https://www.berlin.de/einwanderung/aufenthalt/artikel.909816.php#faq_1_21,"Berlin, Landesamt für Einwanderung"
2021-09-01T04-36-13.318767,Testpflicht kinder unter 12,Ab welchem Alter gilt diese Testpflicht?,1,1,0,https://www.berlin.de/corona/massnahmen/einzelhandel-und-dienstleistungen/fragen-und-antworten-zur-testpflicht-fuer-kund-innen-1075814.php#accordion_faq_1_2,"Berlin, Der Regierende Bürgermeister von Berlin - Senatskanzlei"
2021-09-01T04-36-13.318767,Müssen schulkinder zusätzlich getestet werden,"Wie weisen Schüler/-innen in der Freizeit nach, dass sie in der Schule getestet wurden?",1,1,0,https://www.berlin.de/sen/bjf/corona/schule/index.php#accordion_faq_1_4,"Berlin, Senatsverwaltung für Bildung, Jugend und Familie"
2021-09-01T04-37-41.027477,astrazeneca third vaccination,How much protection can I expect from the vaccination?,1,1,0,https://www.berlin.de/corona/impfen/faq/#accordion_faq_1_61,Der Regierende Bürgermeister von Berlin - Senatskanzlei
2021-09-01T04-37-41.027477,astrazeneca third vaccination,Who should be vaccinated?,1,1,0,https://www.berlin.de/corona/impfen/faq/#accordion_faq_1_12,Der Regierende Bürgermeister von Berlin - Senatskanzlei
2021-09-01T05-45-55.69872_,Ich benötige einen Termin im bürgeramt um den Verlust meines Personalausweises zu beantragen und einen neuen zu beantragen,Wo kann ich aktuell einen Antrag auf Ersatzführerschein nach Verlust/Diebstahl einer Fahrerlaubnis stellen?,2,1,1,https://www.berlin.de/labo/mobilitaet/fahrerlaubnisse-personen-und-gueterbefoerderung/artikel.911946.php#faq_1_21,"Berlin, Landesamt für Bürger- und Ordnungsangelegenheiten"
2021-09-01T06-19-55.135571,"Ich will meinen 2jährigen Sohn Töten lassen (PCR, 24h) Wo kann ich das machen? Wir wohnen 10969 Kreuzberg, Berlin..",Berliner Beratungsstellen Kinderschutz,1,1,0,https://www.berlin.de/sen/bjf/corona/jugend-und-familie/index.php#accordion_faq_1_14,"Berlin, Senatsverwaltung für Bildung, Jugend und Familie"
2021-09-01T06-41-15.369185,ich habe einen positiven antigentest und möchte einen pcr test machen,Was passiert bei einem positiven Testergebnis?,1,1,0,https://www.berlin.de/sen/bjf/corona/tests/#accordion_faq_1_49,"Senatsverwaltung für Bildung, Jugend und Familie"
2021-09-01T06-44-51.681726,Welche Beratungsstellen müssen die 3G Regel anwenden?,Berliner Beratungsstellen Kinderschutz,1,1,0,https://www.berlin.de/sen/bjf/corona/jugend-und-familie/index.php#accordion_faq_1_14,"Berlin, Senatsverwaltung für Bildung, Jugend und Familie"
2021-09-01T07-00-14.466484,termin buchen in GESUNDAMT,"Kann ich bei Ihnen nur einen Termin buchen, mich online registrieren oder einen schriftlichen Antrag stellen, wenn ich in Berlin gemeldet bin?",2,1,1,https://www.berlin.de/einwanderung/aufenthalt/artikel.909816.php#faq_1_21,"Berlin, Landesamt für Einwanderung"
