train_test_split,german_only,learning_rate,epochs,decay,num_attention_heads,num_hidden_layers,random_state,train_bert,name_only,faq_q_only,remove_special_chars,weighted,current_model,shuffle_between_training,distill,sample_size,override,explainable,optimizer,output_attentions,output_hidden_states,batch_size,shuffle_tf,faq_tn,faq_fp,faq_fn,faq_tp,faq_false_positive_rate,faq_false_negative_rate,faq_true_negative_rate,faq_negative_predictive_value,faq_false_discovery_rate,faq_recall,faq_precision,faq_accuracy,faq_f1,faq_matthews_corr,services_tn,services_fp,services_fn,services_tp,services_false_positive_rate,services_false_negative_rate,services_true_negative_rate,services_negative_predictive_value,services_false_discovery_rate,services_recall,services_precision,services_accuracy,services_f1,services_matthews_corr,time[sec],loss_0,loss_1,loss_2,loss_3,loss_4,loss_5,loss_6,loss_7,sparse_categorical_accuracy_0,sparse_categorical_accuracy_1,sparse_categorical_accuracy_2,sparse_categorical_accuracy_3,sparse_categorical_accuracy_4,sparse_categorical_accuracy_5,sparse_categorical_accuracy_6,sparse_categorical_accuracy_7,val_loss_0,val_loss_1,val_loss_2,val_loss_3,val_loss_4,val_loss_5,val_loss_6,val_loss_7,val_sparse_categorical_accuracy_0,val_sparse_categorical_accuracy_1,val_sparse_categorical_accuracy_2,val_sparse_categorical_accuracy_3,val_sparse_categorical_accuracy_4,val_sparse_categorical_accuracy_5,val_sparse_categorical_accuracy_6,val_sparse_categorical_accuracy_7,loss_8,loss_9,sparse_categorical_accuracy_8,sparse_categorical_accuracy_9,loss_10,loss_11,loss_12,loss_13,loss_14,loss_15,sparse_categorical_accuracy_10,sparse_categorical_accuracy_11,sparse_categorical_accuracy_12,sparse_categorical_accuracy_13,sparse_categorical_accuracy_14,sparse_categorical_accuracy_15,cluster,enrich_FAQs,real_data
0.9,False,5e-05,8,0.0,12,12,100,True,True,True,True,True,german_standard_sota,False,False,2000,True,False,Adam,False,False,8,False,421.0,579.0,222.0,778.0,0.579,0.222,0.421,0.6547433903576982,0.4266764922623434,0.778,0.5733235077376566,0.5995,0.6601612218922359,0.2130382893307576,778.0,222.0,579.0,421.0,0.222,0.579,0.778,0.5733235077376566,0.3452566096423017,0.421,0.6547433903576982,0.5995,0.512477175897748,0.2130382893307576,651.1167540550232,0.1960377395153045,0.0284619089215993,0.0105664459988474,0.039947859942913,0.2154023200273513,0.0888149365782737,0.0538495481014251,0.0613841824233531,0.9482421875,0.9931640625,0.9970703125,0.9912109375,0.9658203125,0.98828125,0.994140625,0.994140625,0.1003588736057281,0.2798196673393249,0.2336670607328415,0.283444732427597,0.1755595803260803,0.1374845206737518,0.237637847661972,0.2022970616817474,0.9561403393745422,0.9561403393745422,0.9561403393745422,0.9561403393745422,0.9561403393745422,0.9561403393745422,0.9473684430122375,0.9561403393745422,,,,,,,,,,,,,,,,,,,
0.9,True,5e-05,8,0.01,12,12,100,True,True,True,True,True,german_standard_sota,False,False,2000,True,False,Adam,False,False,8,False,414.0,586.0,164.0,836.0,0.586,0.164,0.414,0.7162629757785467,0.4120956399437412,0.836,0.5879043600562588,0.625,0.690338563170933,0.2757568384622607,836.0,164.0,586.0,414.0,0.164,0.586,0.836,0.5879043600562588,0.2837370242214533,0.414,0.7162629757785467,0.625,0.5247148288973383,0.2757568384622607,650.8311493396759,0.1703943461179733,0.0163193419575691,0.0023801347706466,0.0011884840205311,0.0008292875718325,0.000697981507983,0.0005572107620537,0.0004870022821705,0.9541015625,0.9970703125,1.0,1.0,1.0,1.0,1.0,1.0,0.1336175352334976,0.1667613387107849,0.193584144115448,0.1963016092777252,0.2003119140863418,0.2033649682998657,0.2069563716650009,0.2106368392705917,0.9561403393745422,0.9649122953414916,0.9649122953414916,0.9649122953414916,0.9649122953414916,0.9649122953414916,0.9649122953414916,0.9649122953414916,,,,,,,,,,,,,,,,,,,
0.0,True,5e-05,8,0.01,12,12,100,True,True,True,True,True,german_standard_sota,False,False,2000,True,False,Adam,False,False,8,False,411.0,589.0,150.0,850.0,0.589,0.15,0.411,0.732620320855615,0.409312022237665,0.85,0.590687977762335,0.6305,0.6970069700697007,0.2904883232408575,850.0,150.0,589.0,411.0,0.15,0.589,0.85,0.590687977762335,0.267379679144385,0.411,0.732620320855615,0.6305,0.5265855221012171,0.2904883232408575,691.1453206539154,0.1822018921375274,0.0211257431656122,0.0039046157617121,0.0032320856116712,0.0010438686003908,0.0009342965204268,0.0006921926978975,0.0006167415413074,0.9507908821105956,0.9991212487220764,0.9991212487220764,0.9991212487220764,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,False,5e-05,8,0.01,12,12,100,True,True,True,True,True,german_standard_sota,False,False,2000,True,False,Adam,False,False,8,False,395.0,605.0,191.0,809.0,0.605,0.191,0.395,0.674061433447099,0.4278642149929278,0.809,0.5721357850070722,0.602,0.6702568351284176,0.2241076361141023,809.0,191.0,605.0,395.0,0.191,0.605,0.809,0.5721357850070722,0.325938566552901,0.395,0.674061433447099,0.602,0.498108448928121,0.2241076361141023,691.0625178813934,0.2061527818441391,0.025728665292263,0.0038545897696167,0.0012595340376719,0.0009682731470093,0.0007511937874369,0.0008041689288802,0.0005656534922309,0.9507908821105956,0.994727611541748,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,True,0.1,8,0.01,12,12,100,True,True,True,True,True,german_standard_sota,False,False,2000,True,False,Adam,False,False,8,False,1000.0,0.0,1000.0,0.0,0.0,1.0,1.0,0.5,,0.0,,0.5,0.0,0.0,0.0,1000.0,0.0,1000.0,1.0,0.0,0.0,,0.5,1.0,0.5,0.5,0.6666666666666666,0.0,690.4535520076752,10.468816757202148,5.111821174621582,4.335929393768311,4.5036492347717285,3.6967194080352783,3.544567346572876,3.5960214138031006,3.468482255935669,0.5711774826049805,0.5676625370979309,0.5869947075843811,0.5896309018135071,0.5579965114593506,0.6063268780708313,0.5702987909317017,0.557117760181427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,True,0.1,8,0.01,12,12,100,True,True,True,True,True,german_standard_sota,False,False,2000,True,False,Adam,False,False,8,False,0.0,1000.0,0.0,1000.0,1.0,0.0,0.0,,0.5,1.0,0.5,0.5,0.6666666666666666,0.0,1000.0,0.0,1000.0,0.0,0.0,1.0,1.0,0.5,,0.0,,0.5,0.0,0.0,706.2033998966217,6.921003341674805,4.548641681671143,4.441905498504639,4.033886432647705,3.006520748138428,2.944379568099976,2.7712297439575195,2.582033634185791,0.5940245985984802,0.5729349851608276,0.5896309018135071,0.5694200396537781,0.5913884043693542,0.5579965114593506,0.5641476511955261,0.5650263428688049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,True,0.01,8,0.01,12,12,100,True,True,True,True,True,german_standard_sota,False,False,2000,True,False,Adam,False,False,8,False,1000.0,0.0,1000.0,0.0,0.0,1.0,1.0,0.5,,0.0,,0.5,0.0,0.0,0.0,1000.0,0.0,1000.0,1.0,0.0,0.0,,0.5,1.0,0.5,0.5,0.6666666666666666,0.0,703.9330639839172,1.4448601007461548,1.0674042701721191,1.0299429893493652,1.03327476978302,0.9998080730438232,0.973574995994568,0.9437768459320068,0.9019113779067992,0.5808435678482056,0.6080843806266785,0.6177504658699036,0.6203866600990295,0.619507908821106,0.611599326133728,0.6379613280296326,0.6537785530090332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,True,0.005,8,0.01,12,12,100,True,True,True,True,True,german_standard_sota,False,False,2000,True,False,Adam,False,False,8,False,1000.0,0.0,1000.0,0.0,0.0,1.0,1.0,0.5,,0.0,,0.5,0.0,0.0,0.0,1000.0,0.0,1000.0,1.0,0.0,0.0,,0.5,1.0,0.5,0.5,0.6666666666666666,0.0,704.1896300315857,1.113608717918396,0.9807539582252502,0.9319885969161988,0.896605908870697,0.8685701489448547,0.8476040363311768,0.8517427444458008,0.8448033332824707,0.6001757383346558,0.631810188293457,0.6282952427864075,0.6546573042869568,0.6818980574607849,0.7144112586975098,0.7029876708984375,0.7108963131904602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,True,5e-06,8,0.01,12,12,100,True,True,True,True,True,german_standard_sota,False,False,2000,True,False,Adam,False,False,8,False,380.0,620.0,158.0,842.0,0.62,0.158,0.38,0.7063197026022305,0.4240766073871409,0.842,0.5759233926128591,0.611,0.6839967506092607,0.2503157348984475,842.0,158.0,620.0,380.0,0.158,0.62,0.842,0.5759233926128591,0.2936802973977695,0.38,0.7063197026022305,0.611,0.4941482444733419,0.2503157348984475,707.1348464488983,0.3536851704120636,0.161770761013031,0.1067850291728973,0.083901509642601,0.0632102340459823,0.0509000904858112,0.0435887165367603,0.036937229335308,0.9507908821105956,0.975395441055298,0.9876977205276488,0.9894551634788512,0.992091417312622,0.9938488602638244,0.9929701089859008,0.9956063032150269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,True,5e-05,8,0.01,12,12,100,True,True,True,True,True,german_standard_sota,False,False,2000,True,False,Adam,False,False,8,False,406.0,594.0,170.0,830.0,0.594,0.17,0.406,0.7048611111111112,0.4171348314606741,0.83,0.5828651685393258,0.618,0.6848184818481848,0.2605828121682301,830.0,170.0,594.0,406.0,0.17,0.594,0.83,0.5828651685393258,0.2951388888888889,0.406,0.7048611111111112,0.618,0.5152284263959391,0.2605828121682301,706.2806580066681,0.1983204334974289,0.0244106873869895,0.0104677062481641,0.0019417577423155,0.001091671991162,0.0007951636216603,0.0006812906940467,0.000598871090915,0.9507908821105956,0.997363805770874,0.9964850544929504,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
